gene_id,NC1_count,NC2_count,NC3_count,NC4_count,PD1_count,PD2_count,PD3_count,PD4_count
ENSG00000023892,43,50,74,29,160,52,223,73
ENSG00000023902,65,280,188,145,284,319,449,165
ENSG00000023909,106,22,15,57,265,220,169,179
ENSG00000024048,1143,90,59,888,658,797,377,613
ENSG00000024422,207,123,148,371,694,871,1593,1695
ENSG00000024526,13,101,40,4,8,7,38,17
ENSG00000024862,158,11,79,110,96,107,84,48
ENSG00000025039,553,112,133,593,144,215,249,171
ENSG00000025156,62,6,10,69,38,39,37,49
ENSG00000025293,300,286,212,354,283,362,305,330
ENSG00000025423,6,56,0,37,0,1,3,0
ENSG00000025434,117,129,173,104,173,116,268,220
ENSG00000025708,153,61,301,96,647,435,2125,1100
ENSG00000025770,172,67,64,171,129,204,176,257
ENSG00000025772,140,22,49,122,55,60,70,34
ENSG00000025796,463,101,143,439,359,413,300,302
ENSG00000025800,841,185,291,582,537,682,706,436
ENSG00000026025,2071,78,94,3279,9072,15410,4817,14218
ENSG00000026036,139,359,394,291,82,143,264,325
ENSG00000026103,153,51,64,97,358,246,169,236
ENSG00000026297,400,218,380,304,1007,500,820,3918
ENSG00000026508,444,230,277,592,2058,520,1695,400
ENSG00000026559,14,168,232,67,15,29,75,4
ENSG00000026652,277,661,632,460,60,196,123,123
ENSG00000026751,34,146,212,38,553,25,320,108
ENSG00000026950,308,286,385,193,599,333,483,667
ENSG00000027001,158,174,128,120,59,128,87,82
ENSG00000027075,355,235,252,230,416,861,396,240
ENSG00000027644,5,112,262,14,0,10,22,2
ENSG00000027697,340,78,40,252,659,501,411,289
ENSG00000027847,112,230,637,147,132,159,193,219
ENSG00000027869,26,0,84,18,28,15,28,32
ENSG00000028116,109,22,79,85,110,95,111,91
ENSG00000028137,201,1,1,132,383,571,691,359
ENSG00000028203,453,2,104,397,589,400,415,669
ENSG00000028277,33,190,321,36,68,54,125,30
ENSG00000028310,278,286,725,276,216,221,280,598
ENSG00000028528,818,269,272,662,494,645,596,591
ENSG00000028839,94,118,143,73,39,83,31,42
ENSG00000029153,35,106,54,23,67,41,97,38
ENSG00000029363,1642,241,252,1101,988,1365,638,823
ENSG00000029364,554,59,138,504,576,585,441,297
ENSG00000029534,15,235,291,30,26,78,96,24
ENSG00000029559,0,62,84,12,1,9,24,12
ENSG00000029639,92,78,44,56,45,41,55,50
ENSG00000029725,475,78,123,420,442,433,439,335
ENSG00000029993,68,45,153,47,21,21,31,24
ENSG00000030066,316,50,69,451,398,471,396,378
ENSG00000030110,126,9,44,51,62,31,71,45
ENSG00000030304,10,151,84,10,6,14,15,2
ENSG00000030419,352,319,178,165,237,187,232,254
ENSG00000030582,1145,84,163,800,1387,892,2906,881
ENSG00000031003,404,84,44,433,265,384,245,564
ENSG00000031081,704,448,622,403,534,1033,543,364
ENSG00000031691,34,0,5,24,21,15,9,6
ENSG00000031698,539,129,183,500,505,623,462,358
ENSG00000031823,272,213,217,205,129,157,245,300
ENSG00000032219,353,151,54,310,266,488,239,352
ENSG00000032389,143,151,232,160,119,112,151,142
ENSG00000032444,450,67,74,411,249,200,437,570
ENSG00000032742,241,28,54,211,130,251,77,209
ENSG00000033011,123,34,40,106,141,65,183,128
ENSG00000033030,254,56,89,200,236,234,177,396
ENSG00000033050,247,78,89,204,164,250,281,134
ENSG00000033100,229,140,281,302,415,282,596,398
ENSG00000033122,2,370,212,94,15,26,161,205
ENSG00000033170,290,112,79,122,433,195,332,205
ENSG00000033178,470,146,35,382,650,480,927,579
ENSG00000033327,212,387,642,227,185,236,296,144
ENSG00000033627,478,409,341,484,355,482,683,859
ENSG00000033800,274,218,272,192,224,234,162,188
ENSG00000033867,1127,78,15,1142,499,683,982,387
ENSG00000034053,57,106,346,56,37,17,79,34
ENSG00000034152,136,62,109,168,106,253,220,88
ENSG00000034239,11,185,114,8,10,5,34,3
ENSG00000034510,828,6,10,519,4409,3285,3738,2108
ENSG00000034533,72,190,123,41,83,74,59,27
ENSG00000034677,938,78,148,654,2151,778,1030,943
ENSG00000034693,141,17,10,80,47,87,40,75
ENSG00000034713,278,129,114,268,195,295,203,131
ENSG00000034971,26,45,153,31,4,3,17,24
ENSG00000035115,453,207,374,391,171,331,214,776
ENSG00000035141,116,45,30,102,126,98,166,121
ENSG00000035403,1668,118,128,1876,689,1175,633,527
ENSG00000035499,9,11,15,0,8,3,4,42
ENSG00000035664,112,129,212,66,11,41,61,45
ENSG00000035681,213,129,40,160,324,161,243,188
ENSG00000035687,367,132,52,261,118,184,115,107
ENSG00000035720,18,28,0,11,21,1,18,2
ENSG00000035862,653,190,262,1311,357,717,795,266
ENSG00000035928,623,17,44,418,580,422,428,563
ENSG00000036054,253,67,49,245,517,331,192,171
ENSG00000036257,560,118,163,453,341,539,352,263
ENSG00000036448,23,78,163,67,19,106,31,48
ENSG00000036473,0,0,0,0,0,1,4,0
ENSG00000036530,35,297,380,65,23,51,105,28
ENSG00000036549,575,157,148,534,437,447,333,461
ENSG00000036565,4,50,64,6,1,4,22,1
ENSG00000036672,109,140,148,282,5,29,18,18
ENSG00000036828,606,420,247,957,8,16,41,5
ENSG00000037042,62,34,10,108,57,77,111,93
ENSG00000037241,23,22,30,33,55,69,34,53
ENSG00000037280,320,213,415,243,352,1104,494,207
ENSG00000037474,340,213,183,322,305,310,421,430
ENSG00000037637,410,325,499,354,315,254,304,393
ENSG00000037749,450,218,207,224,548,717,469,320
ENSG00000037757,290,6,20,330,333,223,240,622
