gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,gene_label,regulation,significant_fdr,significant_fdr_lfc,neg_log10_pvalue,neg_log10_padj
ENSG00000197712,214.85316506367408,1.0925088543027723,0.4628843720599397,0.0073032948960750875,0.045282398226170216,FAM114A1,FAM114A1,Up,TRUE,TRUE,2.136481162845824,1.3440705803001096
ENSG00000131773,141.06550673169662,-1.0781951323069314,0.4578232214597506,0.007297967005118438,0.045282398226170216,KHDRBS3,KHDRBS3,Down,TRUE,TRUE,2.1367981044582693,1.3440705803001096
ENSG00000186462,63.992735246125214,-1.656183602037061,0.8381152157843429,0.007310235870072369,0.0453101576173343,NAP1L2,NAP1L2,Down,TRUE,TRUE,2.1360686099890267,1.3438044270677911
ENSG00000106367,96.99391925571432,1.3710566581335604,0.6288169530643466,0.007326914992218956,0.04539823676108713,AP1S1,AP1S1,Up,TRUE,TRUE,2.1350788471704787,1.3429610145393907
ENSG00000262246,198.20082917189973,0.999569863310462,0.4154729268065296,0.00733069642638193,0.0454063682321198,CORO7,CORO7,Not significant,TRUE,FALSE,2.134854764817605,1.3428832331755722
ENSG00000204049,50.29598485969928,-2.11209928180047,1.3094004188117798,0.007351659822764366,0.04548420206535363,ENSG00000204049,ENSG00000204049,Down,TRUE,TRUE,2.1336145969040876,1.3421394197649827
ENSG00000188263,64.62361419699829,-2.014814146122488,1.1894958395065194,0.007349787798610128,0.04548420206535363,IL17REL,IL17REL,Down,TRUE,TRUE,2.133725199585607,1.3421394197649827
ENSG00000155890,74.03239895754164,-1.9635371880918344,1.1332552889779905,0.007353155668314102,0.04548420206535363,TRIM42,TRIM42,Down,TRUE,TRUE,2.1335262397981225,1.3421394197649827
ENSG00000150510,82.37411590245483,-1.5727634346005424,0.7742340743270395,0.007351399466329566,0.04548420206535363,FAM124A,FAM124A,Down,TRUE,TRUE,2.1336299775620513,1.3421394197649827
ENSG00000110063,96.9066412222797,-1.0709270027825166,0.45470510430016775,0.0073725459367364,0.045588809608803765,DCPS,DCPS,Down,TRUE,TRUE,2.1323825127729115,1.3411417477207692
ENSG00000185245,16.956022279082553,-2.2150879665677445,1.4041551530523877,0.007381173911442934,0.045626819573591784,GP1BA,GP1BA,Down,TRUE,TRUE,2.1318745619278685,1.3407798027543594
ENSG00000124664,17.884061704610488,-2.108847418320192,1.2679354056095438,0.00739173216195273,0.04565720159164934,SPDEF,SPDEF,Down,TRUE,TRUE,2.131253778083049,1.3404907106852266
ENSG00000009724,34.00767340670093,-1.8186131771332694,0.9782915048726637,0.007390599030892366,0.04565720159164934,MASP2,MASP2,Down,TRUE,TRUE,2.131320359268565,1.3404907106852266
ENSG00000078687,323.1202824553448,-1.0078243907652746,0.4217140174384906,0.007393537049479704,0.04565720159164934,TNRC6C,TNRC6C,Down,TRUE,TRUE,2.1311477465071467,1.3404907106852266
ENSG00000203924,19.229880786966877,-2.51039841466692,2.2160816419010785,0.007416218054932434,0.04573583166673624,ENSG00000203924,ENSG00000203924,Down,TRUE,TRUE,2.1298175093568594,1.3397434192357576
ENSG00000144485,44.3162412695036,-1.5967223737069813,0.7930768560693604,0.0074145678693365,0.04573583166673624,HES6,HES6,Down,TRUE,TRUE,2.129914155145565,1.3397434192357576
ENSG00000160799,149.28467142570184,-1.10351021917715,0.47312538791964076,0.007415906197066915,0.04573583166673624,CCDC12,CCDC12,Down,TRUE,TRUE,2.1298357721690975,1.3397434192357576
ENSG00000099814,301.58670644903924,-1.0685097422929695,0.45387686031647473,0.007411536036997558,0.04573583166673624,CEP170B,CEP170B,Down,TRUE,TRUE,2.1300917753863957,1.3397434192357576
ENSG00000205978,338.9864840457072,-1.4288617329437343,0.6736753685089163,0.007423306608177923,0.04576419997465371,NYNRIN,NYNRIN,Down,TRUE,TRUE,2.1294026012161695,1.3394741253401548
ENSG00000176029,14.17562281932665,-2.203930729240677,1.3753411269128095,0.00743802470575454,0.04580886615499866,C11orf16,C11orf16,Down,TRUE,TRUE,2.1285423834447728,1.339050457595702
ENSG00000114790,76.68817365773167,-1.7538972444345382,0.9264871351569046,0.007437362382155413,0.04580886615499866,ARHGEF26,ARHGEF26,Down,TRUE,TRUE,2.1285810571925987,1.339050457595702
ENSG00000147403,2518.886456664088,1.6821708102624726,0.8498038817022128,0.007433308311701685,0.04580886615499866,RPL10,RPL10,Up,TRUE,TRUE,2.128817853569463,1.339050457595702
ENSG00000134030,341.006965798517,-1.0695762338813473,0.45543465951820006,0.007441381026397316,0.04581419386523155,CTIF,CTIF,Down,TRUE,TRUE,2.128346457399658,1.3389999507657093
ENSG00000112164,41.440859220451145,-1.9535629627187514,1.1240349119327837,0.007446067890767716,0.0458277069983997,GLP1R,GLP1R,Down,TRUE,TRUE,2.128073008347095,1.338871872252379
ENSG00000198173,54.89856326233658,-2.2315752172027272,1.5172873600542203,0.0074485890203948085,0.04582788627803966,FAM47C,FAM47C,Down,TRUE,TRUE,2.1279259874788474,1.3388701732800508
ENSG00000146926,37.316826878372225,-2.150582353496667,1.3668897467499719,0.0074564974799984805,0.04586120021978999,ASB10,ASB10,Down,TRUE,TRUE,2.127465124579669,1.3385545836660215
ENSG00000137558,34.35134020293953,-1.7966895757502364,0.9658095761146049,0.00746410631872262,0.045892649682818115,PI15,PI15,Down,TRUE,TRUE,2.1270221831273513,1.338256866920592
ENSG00000101292,26.550672181047855,-2.195344462525544,1.420478594550883,0.007484763694222913,0.045963586927018636,PROKR2,PROKR2,Down,TRUE,TRUE,2.1258219064652244,1.3375860869936278
ENSG00000132746,32.49215931511157,-2.012977426853676,1.180312484692912,0.007480379648849543,0.045963586927018636,ALDH3B2,ALDH3B2,Down,TRUE,TRUE,2.12607635999432,1.3375860869936278
ENSG00000222014,33.7853783907633,-1.8743372647430296,1.0358538323288164,0.007485641264079435,0.045963586927018636,RAB6C,RAB6C,Down,TRUE,TRUE,2.125770989506375,1.3375860869936278
ENSG00000148680,94.76773624437337,-1.872885460163278,1.0435981278098376,0.007485152858324042,0.045963586927018636,HTR7,HTR7,Down,TRUE,TRUE,2.1257993262696537,1.3375860869936278
ENSG00000120949,44.950393572881765,-1.8694206510045748,1.037107971764968,0.007508615711014406,0.0460892666640704,TNFRSF8,TNFRSF8,Down,TRUE,TRUE,2.1244401221811886,1.3364002019705399
ENSG00000169230,214.08051529320568,1.3793595611924228,0.6368997268028926,0.007512054864487212,0.04609499131061722,PRELID1,PRELID1,Up,TRUE,TRUE,2.1242412488493687,1.336346262556936
ENSG00000140853,457.17277643939514,0.8643909527277076,0.3502007202708966,0.007526564278312723,0.04616861810479352,NLRC5,NLRC5,Not significant,TRUE,FALSE,2.123403225058027,1.3356531243322103
ENSG00000101333,302.2543640185243,1.732004806781664,0.9022382319807519,0.007529324096171816,0.04617014675845271,PLCB4,PLCB4,Up,TRUE,TRUE,2.123244008457734,1.335638744979184
ENSG00000185860,49.46326030043908,-2.321667388201915,1.7143954799392758,0.0075391721553232155,0.04621512531213131,CCDC190,CCDC190,Down,TRUE,TRUE,2.1226763395564094,1.3352158650379946
ENSG00000105483,408.0426906615694,1.0135497163572667,0.4244431337016106,0.007555849982214151,0.046301181175321,CARD8,CARD8,Up,TRUE,TRUE,2.1217166733737294,1.3344079296865652
ENSG00000154930,605.6725208925067,-0.9683890744031362,0.4027697593225989,0.007558246105944189,0.046301181175321,ACSS1,ACSS1,Not significant,TRUE,FALSE,2.121578971017391,1.3344079296865652
ENSG00000019505,417.04791590227575,1.6062226045612507,0.8001450811357185,0.007572075624432738,0.046368102354273126,SYT13,SYT13,Up,TRUE,TRUE,2.1207850572663727,1.3337806775338212
ENSG00000104892,27.61773486084443,-1.5568027380210303,0.7677548002592356,0.007574213130627324,0.046368102354273126,KLC3,KLC3,Down,TRUE,TRUE,2.1206624784397676,1.3337806775338212
ENSG00000184208,105.02136622974693,-1.2665080963174467,0.5696820961456658,0.007580294923466386,0.0463898913951903,ENSG00000184208,ENSG00000184208,Down,TRUE,TRUE,2.120313897119615,1.3335766442202956
ENSG00000174460,31.133564702093988,-2.2101334413003793,1.4637311098892094,0.007593198574811361,0.04643795204216193,ZCCHC12,ZCCHC12,Down,TRUE,TRUE,2.119575242448285,1.3331269413107252
